"Bacteria;Proteobacteria"	"Bacteria;Bacteroidota"	"Bacteria;Firmicutes"	"Bacteria;Desulfobacterota"	"Bacteria;Actinobacteriota"	"Bacteria;Verrucomicrobiota"	"Bacteria;Cyanobacteria"	"Bacteria;Planctomycetota"	"Bacteria;Fusobacteriota"
"16S-C-F10-L3_e0017-3-C-F10"	27118	38776	52990	82	51	0	0	0	0
"16S-C-F11-L0_e0017-0-C-F11"	53039	79541	94434	203	170	0	0	0	0
"16S-C-F11-L1_e0017-1-C-F11"	32304	58345	66051	133	184	0	0	0	0
"16S-C-F11-L2_e0017-2-C-F11"	19508	32076	41281	103	237	0	0	0	0
"16S-C-F11-L3_e0017-3-C-F11"	27841	43357	60681	66	50	0	0	0	0
"16S-C-F12-L0_e0017-0-C-F12"	40958	55417	51746	185	57	0	0	0	0
"16S-C-F12-L1_e0017-1-C-F12"	31334	43484	56491	95	111	0	0	0	0
"16S-C-F12-L2_e0017-2-C-F12"	25094	37871	27198	125	50	0	0	0	0
"16S-C-F12-L3_e0017-3-C-F12"	20481	34566	41112	53	19	0	0	0	0
"16S-C-F2-L0_e0017-0-C-F2"	2955	4612	6110	10	6	0	0	0	0
"16S-C-F2-L1_e0017-1-C-F2"	5067	7971	8489	9	12	0	0	0	0
"16S-C-F2-L2_e0017-2-C-F2"	4424	4261	5193	11	13	0	0	0	0
"16S-C-F2-L3_e0017-3-C-F2"	4767	6292	8357	4	2	0	0	0	0
"16S-C-F3-L0_e0017-0-C-F3"	20104	37621	41541	66	139	0	0	0	0
"16S-C-F3-L1_e0017-1-C-F3"	23118	35513	41554	87	95	0	0	0	0
"16S-C-F3-L2_e0017-2-C-F3"	12794	19026	25294	65	134	0	0	0	0
"16S-C-F3-L3_e0017-3-C-F3"	18159	26206	36797	31	16	0	0	0	0
"16S-C-F4-L0_e0017-0-C-F4"	32284	65350	52784	48	167	0	0	0	0
"16S-C-F4-L1_e0017-1-C-F4"	29171	47412	55556	107	196	0	0	0	0
"16S-C-F4-L2_e0017-2-C-F4"	15574	24941	31188	82	110	0	0	0	0
"16S-C-F4-L3_e0017-3-C-F4"	29902	47804	45821	45	39	0	0	0	0
"16S-C-F5-L0_e0017-0-C-F5"	27999	59639	51120	31	188	0	0	0	0
"16S-C-F5-L1_e0017-1-C-F5"	26591	46641	43165	75	135	0	0	0	0
"16S-C-F5-L2_e0017-2-C-F5"	19276	27819	34757	63	120	0	0	0	0
"16S-C-F5-L3_e0017-3-C-F5"	38226	63184	83138	148	131	0	0	0	0
"16S-C-F6-L0_e0017-0-C-F6"	24537	54988	46904	54	169	0	0	0	0
"16S-C-F6-L1_e0017-1-C-F6"	22457	33666	50970	67	73	0	0	0	0
"16S-C-F6-L2_e0017-2-C-F6"	13989	23074	27086	56	137	0	0	0	0
"16S-C-F6-L3_e0017-3-C-F6"	24519	35277	59085	77	94	0	0	0	0
"16S-C-F7-L0_e0017-0-C-F7"	31484	67687	62056	17	235	0	0	0	0
"16S-C-F7-L1_e0017-1-C-F7"	32284	48594	66176	116	182	0	0	0	0
"16S-C-F7-L2_e0017-2-C-F7"	20889	33927	41184	102	193	0	0	0	0
"16S-C-F7-L3_e0017-3-C-F7"	26198	45995	59868	106	97	0	0	0	0
"16S-C-F8-L0_e0017-0-C-F8"	28722	62104	47702	29	192	0	0	0	0
"16S-C-F8-L1_e0017-1-C-F8"	31600	53132	59639	136	121	0	0	0	0
"16S-C-F8-L2_e0017-2-C-F8"	21362	36383	47164	123	254	0	0	0	0
"16S-C-F8-L3_e0017-3-C-F8"	29287	36157	43376	108	76	0	0	0	0
"16S-C-F9-L0_e0017-0-C-F9"	30755	62308	54976	53	287	0	0	0	0
"16S-C-F9-L1_e0017-1-C-F9"	30060	38580	46421	120	157	0	0	0	0
"16S-C-F9-L2_e0017-2-C-F9"	24641	45485	61889	179	381	0	0	0	0
"16S-C-F9-L3_e0017-3-C-F9"	30283	43351	57057	123	111	0	0	0	0
"16S-C-G1-L0_e0017-0-C-G1"	36635	44838	50808	197	60	0	0	0	0
"16S-C-G1-L1_e0017-1-C-G1"	39449	46670	54699	156	240	0	0	0	0
"16S-C-G1-L2_e0017-2-C-G1"	15431	29332	39984	113	81	0	0	0	0
